"location";"total_robbery";"total_street_robbery";"total_injury";"total_agg_assault";"total_threat";"total_theft";"total_car";"total_from_car";"total_bike";"total_bulgary";"total_fire";"total_arson";"total_damage";"total_graffiti";"total_drugs"
"Wiesbadener Strae";69.0;34.0;625.0;89.0;251.0;5187.0;231.0;1034.0;1394.0;355.0;33.0;13.0;932.0;196.0;93.0
"Schmargendorf";60.0;30.0;588.0;112.0;260.0;5310.0;269.0;1377.0;589.0;592.0;37.0;12.0;731.0;93.0;84.0
"West 3 - Borsigwalde/Freie Scholle";87.0;39.0;929.0;201.0;418.0;4592.0;164.0;881.0;549.0;427.0;56.0;16.0;1012.0;144.0;233.0
"West 2 - Heiligensee/Konradshhe";42.0;16.0;673.0;134.0;377.0;3904.0;207.0;1163.0;533.0;710.0;53.0;25.0;1262.0;274.0;217.0
"Plnterwald";72.0;39.0;525.0;110.0;221.0;4618.0;289.0;1078.0;619.0;243.0;46.0;24.0;1012.0;190.0;81.0
"Kaulsdorf";65.0;27.0;862.0;118.0;288.0;3964.0;152.0;849.0;773.0;555.0;53.0;24.0;1073.0;156.0;87.0
"Bezirk (Rd), nicht zuzuordnen";78.0;58.0;572.0;123.0;266.0;5648.0;102.0;827.0;325.0;6.0;30.0;16.0;517.0;149.0;214.0
"Schnholz/Wilhelmsruh/Rosenthal";94.0;46.0;536.0;105.0;248.0;4376.0;138.0;1002.0;645.0;552.0;58.0;22.0;854.0;143.0;87.0
"Bezirk (Pk), nicht zuzuordnen";162.0;119.0;543.0;146.0;222.0;4072.0;231.0;907.0;808.0;5.0;31.0;13.0;728.0;324.0;297.0
"Bezirk (Th-Sb), nicht zuzuordnen";152.0;123.0;478.0;113.0;271.0;4464.0;127.0;719.0;593.0;1.0;32.0;10.0;588.0;227.0;212.0
"Gatow/Kladow";47.0;22.0;710.0;164.0;328.0;3469.0;154.0;678.0;314.0;596.0;76.0;35.0;852.0;80.0;44.0
"MV 2 - Rollbergsiedlung";94.0;41.0;733.0;159.0;339.0;3063.0;75.0;553.0;188.0;228.0;46.0;18.0;1233.0;545.0;146.0
"Bezirk (Nk), nicht zuzuordnen";168.0;140.0;517.0;181.0;297.0;4177.0;109.0;788.0;262.0;3.0;27.0;10.0;396.0;102.0;236.0
"Karow";35.0;21.0;581.0;105.0;257.0;3327.0;76.0;671.0;883.0;369.0;47.0;19.0;763.0;135.0;88.0
"Kllnische Vorstadt/Spindlersfeld";46.0;24.0;955.0;199.0;275.0;2794.0;150.0;461.0;590.0;100.0;66.0;27.0;1080.0;265.0;170.0
"Bezirk (Tp-Kp), nicht zuzuordnen";92.0;69.0;496.0;143.0;229.0;2916.0;148.0;742.0;515.0;5.0;52.0;34.0;992.0;580.0;123.0
"Buckow Nord";80.0;29.0;701.0;134.0;315.0;3597.0;134.0;776.0;261.0;264.0;58.0;27.0;539.0;32.0;73.0
"Bohnsdorf";46.0;19.0;658.0;131.0;263.0;3349.0;204.0;630.0;380.0;329.0;37.0;15.0;717.0;132.0;109.0
"Buchholz";31.0;11.0;513.0;92.0;267.0;3309.0;188.0;559.0;393.0;258.0;39.0;10.0;801.0;160.0;74.0
"Kpenick-Sd";18.0;10.0;600.0;97.0;219.0;2762.0;170.0;729.0;491.0;158.0;121.0;40.0;942.0;109.0;89.0
"Kpenick-Nord";40.0;23.0;421.0;95.0;196.0;2318.0;120.0;472.0;593.0;270.0;50.0;13.0;709.0;133.0;63.0
"Bezirk (St-Zd), nicht zuzuordnen";48.0;30.0;284.0;61.0;201.0;2446.0;67.0;472.0;518.0;6.0;44.0;30.0;657.0;372.0;130.0
"Bezirk (Sp), nicht zuzuordnen";97.0;83.0;360.0;109.0;216.0;2368.0;102.0;571.0;195.0;4.0;24.0;15.0;638.0;307.0;174.0
"Rahnsdorf/Hessenwinkel";18.0;8.0;294.0;59.0;126.0;2387.0;82.0;613.0;731.0;258.0;31.0;15.0;475.0;75.0;38.0
"Grnau";21.0;8.0;257.0;74.0;130.0;2098.0;72.0;427.0;540.0;129.0;39.0;23.0;753.0;367.0;40.0
"Bezirk (Lb), nicht zuzuordnen";70.0;56.0;340.0;97.0;122.0;2197.0;134.0;506.0;330.0;5.0;25.0;5.0;677.0;357.0;57.0
"Altstadt-Kietz";26.0;14.0;800.0;148.0;236.0;1762.0;57.0;264.0;465.0;41.0;40.0;22.0;818.0;141.0;112.0
"Rummelsburger Bucht";24.0;17.0;253.0;75.0;92.0;2054.0;77.0;364.0;496.0;105.0;77.0;40.0;414.0;119.0;76.0
"Bezirk (Mz-Hd), nicht zuzuordnen";91.0;68.0;487.0;134.0;154.0;1564.0;97.0;267.0;197.0;3.0;26.0;5.0;611.0;275.0;69.0
"Allende-Viertel";15.0;5.0;346.0;66.0;143.0;1769.0;117.0;236.0;324.0;41.0;23.0;11.0;444.0;77.0;45.0
"Malchow, Wartenberg und Falkenberg";14.0;6.0;214.0;40.0;94.0;1293.0;24.0;168.0;92.0;153.0;40.0;17.0;275.0;52.0;29.0
"Schmckwitz/Karolinenhof/Rauchfangswerder";6.0;1.0;146.0;24.0;52.0;958.0;35.0;267.0;63.0;115.0;19.0;14.0;190.0;30.0;10.0
"Mggelheim";5.0;3.0;155.0;26.0;97.0;764.0;43.0;219.0;91.0;71.0;31.0;28.0;273.0;41.0;27.0
"Forst Grunewald";16.0;12.0;112.0;30.0;45.0;418.0;6.0;164.0;20.0;2.0;32.0;29.0;92.0;12.0;11.0
